record_id,date,source,client_name,contact_role,product_area,raw_text,status,priority,owner,original_channel
EM-4624FCF5,2023-01-14,account_email,Harborview Community Bank,Compliance Officer,Admin & Permissions,The Reporting & Analytics dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.,Closed,Medium,Jordan Kim,Email
FB-3DD5239C,2023-01-15,product_feedback,Harborview Community Bank,Branch Manager,User Management,Permissions in Core Banking are confusing. New staff struggle with onboarding.,Reviewed,Medium,,Feedback Form
EM-7CD451B5,2023-01-21,account_email,Harborview Community Bank,IT Director,Dashboard,Quick note: we've had three separate users report problems with Dashboard this month alone.,Resolved,Medium,Morgan Lee,Email
TKT-49A20CE4,2023-01-22,support_ticket,Harborview Community Bank,Branch Manager,Integrations,Admin permission change for new user user618 not propagating to sub-modules.,In Progress,High,Casey Patel,Support Portal
EM-841B5B3F,2023-02-04,account_email,Harborview Community Bank,VP of Operations,Admin & Permissions,I'm looping in Patricia from Compliance — she has specific requirements for the CRA report.,Resolved,Medium,Alex Rivera,Email
FB-864DA8AF,2023-03-06,product_feedback,Harborview Community Bank,Core Banking Admin,User Management,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs.",Pending Review,High,,Feedback Form
QBR-2A036B0C,2023-03-15,qbr_notes,Harborview Community Bank,Compliance Officer,Dashboard,Feature gap: no bulk drill-down capability — client using spreadsheet workaround.,Completed,Medium,Taylor Brooks,QBR Meeting
QBR-7DFFCE1D,2023-03-15,qbr_notes,Harborview Community Bank,VP of Operations,Compliance Reporting,Lending team reported User Management workflow improvements have reduced approval time by 20%.,Open,Medium,Morgan Lee,QBR Meeting
TKT-2F800E24,2023-03-29,support_ticket,Harborview Community Bank,Branch Manager,Payment Reconciliation,Two-factor authentication failing for remote branch staff.,In Progress,Medium,Taylor Brooks,Support Portal
EM-E3EA0DB3,2023-04-02,account_email,Harborview Community Bank,Core Banking Admin,Core Banking,We need to revisit the scheduled snapshots commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.,Awaiting Response,Medium,Taylor Brooks,Email
TKT-62DD7541,2023-05-02,support_ticket,Harborview Community Bank,Loan Operations Manager,User Management,Manual workaround needed: Lending Workflow export requires re-keying into spreadsheet every week.,In Progress,Low,Taylor Brooks,Support Portal
TKT-DC713854,2023-05-11,support_ticket,Harborview Community Bank,IT Director,Dashboard,"Export limit of 10,000 rows too restrictive for full GL reconciliation.",Resolved,Medium,Taylor Brooks,Support Portal
EM-DF525FF7,2023-06-11,account_email,Harborview Community Bank,Branch Manager,Data Exports,The compliance team is asking about CRA reporting capabilities. Can you confirm the timeline for the fix?,Awaiting Response,High,Taylor Brooks,Email
EM-92F709F5,2023-06-16,account_email,Harborview Community Bank,Compliance Officer,Compliance Reporting,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?,Resolved,High,Morgan Lee,Email
QBR-79491637,2023-06-20,qbr_notes,Harborview Community Bank,Compliance Officer,Reporting & Analytics,Discussed drill-down roadmap. Client expects delivery by March 2025. Noted as committed.,Open,Medium,Jordan Kim,QBR Meeting
QBR-76898E18,2023-06-20,qbr_notes,Harborview Community Bank,Compliance Officer,User Management,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.,No Action Required,Medium,Morgan Lee,QBR Meeting
FB-3D36B414,2023-07-07,product_feedback,Harborview Community Bank,VP of Operations,Dashboard,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs.",Pending Review,High,,Feedback Form
TKT-90F027B6,2023-07-09,support_ticket,Harborview Community Bank,CFO,Data Exports,ACH file generation fails intermittently — no error shown to end user.,In Progress,High,Jordan Kim,Support Portal
EM-56E7F71D,2023-07-21,account_email,Harborview Community Bank,Loan Operations Manager,Core Banking,We need to revisit the drill-down commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.,Awaiting Response,High,Jordan Kim,Email
EM-5ED1DC2A,2023-07-25,account_email,Harborview Community Bank,VP of Operations,Payment Reconciliation,Quick note: we've had three separate users report problems with Admin & Permissions this month alone.,Resolved,Medium,Morgan Lee,Email
FB-A099AF01,2023-08-05,product_feedback,Harborview Community Bank,Compliance Officer,Dashboard,Really appreciated the recent update to User Management — the new layout is much cleaner.,Reviewed,Low,,Feedback Form
EM-1F420258,2023-08-30,account_email,Harborview Community Bank,IT Director,Core Banking,The Integrations dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.,Escalated,High,Casey Patel,Email
TKT-A8671A2E,2023-09-10,support_ticket,Harborview Community Bank,Compliance Officer,Integrations,Scheduled report not emailing to distribution list since last update.,Resolved,High,Taylor Brooks,Support Portal
QBR-2C27ADF6,2023-09-18,qbr_notes,Harborview Community Bank,Compliance Officer,Core Banking,Discussed role-based access roadmap. Client expects delivery by March 2025. Noted as committed.,Overdue,Medium,Alex Rivera,QBR Meeting
QBR-842DE4CB,2023-09-18,qbr_notes,Harborview Community Bank,CFO,Data Exports,Data integrity concern raised: Dashboard export results inconsistent across runs.,Overdue,Medium,Casey Patel,QBR Meeting
FB-F8A84CE6,2023-09-27,product_feedback,Harborview Community Bank,VP of Operations,Admin & Permissions,"The reporting is good but we can't customize column order, which is frustrating during audits.",Reviewed,Medium,,Feedback Form
TKT-2A199ED8,2023-10-04,support_ticket,Harborview Community Bank,Branch Manager,Reporting & Analytics,ACH file generation fails intermittently — no error shown to end user.,Open,High,Casey Patel,Support Portal
FB-CCA3F2B2,2023-10-23,product_feedback,Harborview Community Bank,CFO,Data Exports,Core Banking API documentation is outdated — our IT team wasted 3 days on a stale endpoint.,Pending Review,High,,Feedback Form
EM-7517FBD4,2023-11-12,account_email,Harborview Community Bank,Compliance Officer,Lending Workflow,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Resolved,Medium,Alex Rivera,Email
TKT-7882B2F2,2023-11-27,support_ticket,Harborview Community Bank,Compliance Officer,Admin & Permissions,"Payment reconciliation discrepancy flagged by auditor — $3,587 off on March 2025 batch.",Resolved,Medium,Casey Patel,Support Portal
FB-024155C1,2023-12-04,product_feedback,Harborview Community Bank,Loan Operations Manager,Lending Workflow,Support response for Lending Workflow tickets has improved — keep it up.,Reviewed,Medium,,Feedback Form
TKT-6A4D1437,2023-12-10,support_ticket,Harborview Community Bank,VP of Operations,Reporting & Analytics,ACH file generation fails intermittently — no error shown to end user.,Resolved,Low,Casey Patel,Support Portal
QBR-DE08CC1C,2023-12-12,qbr_notes,Harborview Community Bank,Loan Operations Manager,Payment Reconciliation,Migration from legacy Core Banking system discussed — client wants phased approach.,Completed,Medium,Alex Rivera,QBR Meeting
QBR-67AA54A8,2023-12-12,qbr_notes,Harborview Community Bank,Branch Manager,Reporting & Analytics,Client satisfaction score self-reported as 5/10. Main concern: User Management reliability.,Open,Medium,Casey Patel,QBR Meeting
FB-402AC15E,2024-01-15,product_feedback,Harborview Community Bank,CFO,Lending Workflow,Support response for Integrations tickets has improved — keep it up.,Reviewed,High,,Feedback Form
TKT-C1F9746D,2024-01-21,support_ticket,Harborview Community Bank,CFO,Lending Workflow,Admin permission change for new user user649 not propagating to sub-modules.,In Progress,Low,Alex Rivera,Support Portal
EM-CCB819EB,2024-01-23,account_email,Harborview Community Bank,VP of Operations,Compliance Reporting,Our auditors have flagged the missing audit trail in Dashboard. This is now a regulatory risk for us.,Resolved,Low,Casey Patel,Email
EM-82607AFE,2024-02-06,account_email,Harborview Community Bank,Branch Manager,Integrations,Quick note: we've had three separate users report problems with Compliance Reporting this month alone.,Closed,Low,Taylor Brooks,Email
QBR-220CBE64,2024-03-19,qbr_notes,Harborview Community Bank,CFO,Admin & Permissions,Migration from legacy User Management system discussed — client wants phased approach.,Overdue,Medium,Jordan Kim,QBR Meeting
QBR-120BC758,2024-03-19,qbr_notes,Harborview Community Bank,Branch Manager,Data Exports,Migration from legacy Data Exports system discussed — client wants phased approach.,Completed,Medium,Morgan Lee,QBR Meeting
FB-94049730,2024-03-31,product_feedback,Harborview Community Bank,VP of Operations,Payment Reconciliation,"The reporting is good but we can't customize column order, which is frustrating during audits.",Reviewed,High,,Feedback Form
TKT-F0654248,2024-04-04,support_ticket,Harborview Community Bank,Compliance Officer,Admin & Permissions,ACH file generation fails intermittently — no error shown to end user.,Escalated,Low,Alex Rivera,Support Portal
TKT-73D15301,2024-04-11,support_ticket,Harborview Community Bank,Loan Operations Manager,Core Banking,Interest calculation rounding error in loan amortization schedule.,Resolved,Medium,Casey Patel,Support Portal
TKT-EB5779A2,2024-04-19,support_ticket,Harborview Community Bank,IT Director,Reporting & Analytics,Feature request: add drill-down to Reporting & Analytics module to reduce manual steps.,Resolved,Medium,Casey Patel,Support Portal
FB-D4E883F2,2024-05-07,product_feedback,Harborview Community Bank,Loan Operations Manager,User Management,Permissions in Core Banking are confusing. New staff struggle with onboarding.,Pending Review,High,,Feedback Form
EM-ED0B578E,2024-05-23,account_email,Harborview Community Bank,Compliance Officer,Core Banking,Quick note: we've had three separate users report problems with Integrations this month alone.,Awaiting Response,Low,Jordan Kim,Email
TKT-DC208C59,2024-05-25,support_ticket,Harborview Community Bank,VP of Operations,Core Banking,Manual workaround needed: Core Banking export requires re-keying into spreadsheet every week.,In Progress,Low,Taylor Brooks,Support Portal
FB-102A92EA,2024-06-04,product_feedback,Harborview Community Bank,Compliance Officer,Core Banking,Would love to see bulk export added — other platforms we've used had this out of the box.,Pending Review,Medium,,Feedback Form
QBR-BDBBD4BC,2024-06-17,qbr_notes,Harborview Community Bank,Core Banking Admin,Core Banking,Client expressed intent to expand usage to 2 additional branches if Core Banking issues are resolved.,Completed,Medium,Taylor Brooks,QBR Meeting
QBR-09AB47F0,2024-06-17,qbr_notes,Harborview Community Bank,VP of Operations,Lending Workflow,Client requested dedicated CSM contact for compliance-related questions.,Completed,Medium,Morgan Lee,QBR Meeting
TKT-3A1B8D94,2024-07-16,support_ticket,Harborview Community Bank,IT Director,Dashboard,User unable to run GL reconciliation report — system times out after 30 seconds. This is blocking month-end close.,In Progress,Low,Morgan Lee,Support Portal
EM-FC84FB1D,2024-07-18,account_email,Harborview Community Bank,CFO,Admin & Permissions,We need to revisit the bulk export commitment from our last QBR. January 2026 is approaching and we haven't seen any movement.,Closed,Medium,Casey Patel,Email
EM-56E7543C,2024-07-19,account_email,Harborview Community Bank,Compliance Officer,Reporting & Analytics,"Hi Casey, just following up on the Payment Reconciliation issue we discussed last week — still no resolution and my team is using manual workarounds daily.",Closed,Medium,Morgan Lee,Email
EM-B978E01D,2024-08-23,account_email,Harborview Community Bank,Branch Manager,Reporting & Analytics,We need to revisit the scheduled snapshots commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.,Awaiting Response,Medium,Morgan Lee,Email
QBR-293B84FC,2024-09-16,qbr_notes,Harborview Community Bank,IT Director,Reporting & Analytics,CRA compliance gap identified — engineering team to provide timeline within 2 weeks.,Completed,Medium,Morgan Lee,QBR Meeting
QBR-CD198028,2024-09-16,qbr_notes,Harborview Community Bank,Loan Operations Manager,Compliance Reporting,Client satisfaction score self-reported as 8/10. Main concern: Compliance Reporting reliability.,No Action Required,Medium,Jordan Kim,QBR Meeting
EM-13B255AB,2024-10-08,account_email,Harborview Community Bank,CFO,Admin & Permissions,I wanted to flag that we are tracking unresolved items from our Q4 2024 review. We need a status update before our board meeting.,Awaiting Response,Low,Alex Rivera,Email
FB-34DBBEAB,2024-10-09,product_feedback,Harborview Community Bank,CFO,Data Exports,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs.",Pending Review,Low,,Feedback Form
TKT-48160C99,2024-11-17,support_ticket,Harborview Community Bank,CFO,Core Banking,Compliance report for Reg CC cannot be generated — field mapping broken.,Resolved,Medium,Taylor Brooks,Support Portal
TKT-946A33A4,2024-11-30,support_ticket,Harborview Community Bank,Loan Operations Manager,User Management,Interest calculation rounding error in loan amortization schedule.,Open,Medium,Taylor Brooks,Support Portal
EM-734D4365,2024-12-03,account_email,Harborview Community Bank,Branch Manager,Reporting & Analytics,The compliance team is asking about BSA reporting capabilities. Can you confirm the timeline for the fix?,Awaiting Response,Medium,Casey Patel,Email
QBR-80DCD780,2024-12-10,qbr_notes,Harborview Community Bank,Loan Operations Manager,Dashboard,Discussed role-based access roadmap. Client expects delivery by February 2026. Noted as committed.,No Action Required,Medium,Casey Patel,QBR Meeting
QBR-01744C31,2024-12-10,qbr_notes,Harborview Community Bank,Loan Operations Manager,Lending Workflow,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.,Completed,Medium,Taylor Brooks,QBR Meeting
FB-B6B16E76,2024-12-20,product_feedback,Harborview Community Bank,VP of Operations,Lending Workflow,The Core Banking dashboard is missing key metrics our compliance team needs for BSA.,Reviewed,High,,Feedback Form
EM-5E3EDE5D,2024-12-30,account_email,Harborview Community Bank,Branch Manager,Integrations,"Hi Casey, just following up on the Data Exports issue we discussed last week — still no resolution and my team is using manual workarounds daily.",Escalated,High,Jordan Kim,Email
TKT-FD0F6B99,2025-01-17,support_ticket,Harborview Community Bank,IT Director,Lending Workflow,Compliance report for Reg E cannot be generated — field mapping broken.,Open,High,Jordan Kim,Support Portal
FB-1376C638,2025-02-02,product_feedback,Harborview Community Bank,IT Director,Reporting & Analytics,Admin & Permissions integration with our core system still feels brittle — we get silent failures weekly.,Pending Review,Low,,Feedback Form
TKT-C5249C30,2025-02-08,support_ticket,Harborview Community Bank,Branch Manager,Core Banking,Admin permission change for new user user446 not propagating to sub-modules.,In Progress,Critical,Alex Rivera,Support Portal
EM-98D29614,2025-02-14,account_email,Harborview Community Bank,CFO,Admin & Permissions,Our auditors have flagged the missing audit trail in Lending Workflow. This is now a regulatory risk for us.,Resolved,Medium,Jordan Kim,Email
EM-83ED9A50,2025-02-15,account_email,Harborview Community Bank,Loan Operations Manager,Data Exports,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Closed,Medium,Morgan Lee,Email
FB-560CAB06,2025-03-02,product_feedback,Harborview Community Bank,Branch Manager,Admin & Permissions,Admin & Permissions API documentation is outdated — our IT team wasted 3 days on a stale endpoint.,Reviewed,High,,Feedback Form
TKT-9063D963,2025-03-16,support_ticket,Harborview Community Bank,IT Director,Core Banking,Core banking sync with Data Exports delayed by up to 4 hours during peak load.,Resolved,Critical,Alex Rivera,Support Portal
QBR-065ED90F,2025-03-18,qbr_notes,Harborview Community Bank,Loan Operations Manager,Lending Workflow,"Outstanding commitment: date range filter for Compliance Reporting module — originally promised in Q3 2024, still open.",Overdue,Medium,Jordan Kim,QBR Meeting
QBR-845BB0D4,2025-03-18,qbr_notes,Harborview Community Bank,Loan Operations Manager,Data Exports,Feature gap: no bulk date range filter capability — client using spreadsheet workaround.,Completed,Medium,Alex Rivera,QBR Meeting
FB-526C81EF,2025-03-26,product_feedback,Harborview Community Bank,Loan Operations Manager,Data Exports,Mobile access for Core Banking is essential for our branch managers — this is a recurring ask.,Reviewed,Low,,Feedback Form
EM-B362A7A9,2025-04-11,account_email,Harborview Community Bank,Core Banking Admin,Core Banking,The User Management dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.,Resolved,Medium,Casey Patel,Email
EM-8F3C9B59,2025-04-20,account_email,Harborview Community Bank,VP of Operations,Admin & Permissions,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?,Resolved,High,Taylor Brooks,Email
TKT-90DE88DF,2025-05-06,support_ticket,Harborview Community Bank,Compliance Officer,Dashboard,Regulatory exam prep — need historical loan pipeline report for past 24 months.,Resolved,Medium,Jordan Kim,Support Portal
TKT-5F7AEB43,2025-05-10,support_ticket,Harborview Community Bank,Branch Manager,Integrations,User unable to run loan pipeline report — system times out after 30 seconds. This is blocking month-end close.,Resolved,High,Morgan Lee,Support Portal
TKT-70C08DCA,2025-05-21,support_ticket,Harborview Community Bank,Compliance Officer,Core Banking,User unable to run GL reconciliation report — system times out after 30 seconds. This is blocking month-end close.,Resolved,Low,Casey Patel,Support Portal
FB-167BAFA9,2025-05-28,product_feedback,Harborview Community Bank,Core Banking Admin,Core Banking,I wish Admin & Permissions had a drill-down option — it would eliminate our biggest manual step.,Pending Review,Low,,Feedback Form
QBR-D5BBACD7,2025-06-16,qbr_notes,Harborview Community Bank,VP of Operations,Compliance Reporting,Escalation review: 3 critical tickets unresolved for more than 60 days — VP flagged to executive sponsor.,Completed,Medium,Morgan Lee,QBR Meeting
QBR-25E0ACC1,2025-06-16,qbr_notes,Harborview Community Bank,Core Banking Admin,Reporting & Analytics,Client requested dedicated CSM contact for compliance-related questions.,No Action Required,Medium,Casey Patel,QBR Meeting
EM-BECFF851,2025-06-16,account_email,Harborview Community Bank,Core Banking Admin,Reporting & Analytics,Our auditors have flagged the missing audit trail in Compliance Reporting. This is now a regulatory risk for us.,Resolved,High,Morgan Lee,Email
EM-639FF3F7,2025-08-13,account_email,Harborview Community Bank,Branch Manager,User Management,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Awaiting Response,High,Alex Rivera,Email
TKT-F1181862,2025-08-13,support_ticket,Harborview Community Bank,CFO,Reporting & Analytics,Interest calculation rounding error in loan amortization schedule.,In Progress,Low,Casey Patel,Support Portal
TKT-1D6ACE8B,2025-08-15,support_ticket,Harborview Community Bank,CFO,Compliance Reporting,Lending workflow stuck at approval stage for loan ID LN10053. Blocking disbursement.,In Progress,Medium,Taylor Brooks,Support Portal
TKT-07AB188C,2025-08-15,support_ticket,Harborview Community Bank,Core Banking Admin,Admin & Permissions,"Payment reconciliation discrepancy flagged by auditor — $40,560 off on Q4 2024 batch.",Open,Medium,Morgan Lee,Support Portal
TKT-9E4B2A60,2025-09-02,support_ticket,Harborview Community Bank,Branch Manager,User Management,Admin permission change for new user user360 not propagating to sub-modules.,Resolved,Low,Jordan Kim,Support Portal
QBR-1528FB65,2025-09-15,qbr_notes,Harborview Community Bank,CFO,Payment Reconciliation,Migration from legacy Payment Reconciliation system discussed — client wants phased approach.,Completed,Medium,Taylor Brooks,QBR Meeting
QBR-F6D94936,2025-09-15,qbr_notes,Harborview Community Bank,CFO,Payment Reconciliation,Client satisfied with recent Payment Reconciliation improvements but concerned about support response times.,No Action Required,Medium,Alex Rivera,QBR Meeting
FB-EE4CE151,2025-09-22,product_feedback,Harborview Community Bank,VP of Operations,Core Banking,Payment Reconciliation integration with our core system still feels brittle — we get silent failures weekly.,Pending Review,High,,Feedback Form
FB-40E64BC3,2025-10-13,product_feedback,Harborview Community Bank,CFO,Core Banking,User Management integration with our core system still feels brittle — we get silent failures weekly.,Reviewed,High,,Feedback Form
EM-19358F92,2025-10-18,account_email,Harborview Community Bank,Branch Manager,Payment Reconciliation,We need to revisit the date range filter commitment from our last QBR. January 2026 is approaching and we haven't seen any movement.,Awaiting Response,Medium,Jordan Kim,Email
EM-E417DBE7,2025-10-22,account_email,Harborview Community Bank,VP of Operations,User Management,Our branch managers are frustrated with the permission workflow. Every admin change requires an IT ticket.,Escalated,Low,Casey Patel,Email
