record_id,date,source,client_name,contact_role,product_area,raw_text,status,priority,owner,original_channel,theme,sentiment,is_open_or_unresolved,is_repeated_issue,severity,business_impact,renewal_risk_signal,recommended_action,summary
EM-FCA9E060,2023-01-14,account_email,Harborview Community Bank,Compliance Officer,Admin & Permissions,The Reporting & Analytics dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.,Closed,Medium,Jordan Kim,Email,Follow-up / Ownership,Negative,False,False,Medium,Medium,Medium,Confirm owner and next step with client before renewal,The Reporting & Analytics dashboard hasn't been reflecting live data — we've escalated twice and the issue persists.
FB-EA6CEBC8,2023-01-15,product_feedback,Harborview Community Bank,Branch Manager,User Management,Permissions in Core Banking are confusing. New staff struggle with onboarding.,Reviewed,Medium,,Feedback Form,Admin Permissions,Negative,False,True,Medium,Medium,High,Confirm permission workflow improvements with IT contact,Permissions in Core Banking are confusing. New staff struggle with onboarding.
EM-857CD3AD,2023-01-21,account_email,Harborview Community Bank,IT Director,Dashboard,Quick note: we've had three separate users report problems with Dashboard this month alone.,Resolved,Medium,Morgan Lee,Email,Dashboard Limitations,Negative,False,True,Medium,Medium,High,Add dashboard reliability to renewal prep discussion,Quick note: we've had three separate users report problems with Dashboard this month alone.
TKT-9A0DF81D,2023-01-22,support_ticket,Harborview Community Bank,Branch Manager,Integrations,Admin permission change for new user user618 not propagating to sub-modules.,In Progress,High,Casey Patel,Support Portal,Admin Permissions,Neutral,True,False,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,Admin permission change for new user user618 not propagating to sub-modules.
EM-552B809D,2023-02-04,account_email,Harborview Community Bank,VP of Operations,Admin & Permissions,I'm looping in Patricia from Compliance — she has specific requirements for the CRA report.,Resolved,Medium,Alex Rivera,Email,Compliance Reporting,Neutral,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,I'm looping in Patricia from Compliance — she has specific requirements for the CRA report.
FB-AFE85AFC,2023-03-06,product_feedback,Harborview Community Bank,Core Banking Admin,User Management,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs.",Pending Review,High,,Feedback Form,Admin Permissions,Negative,True,True,High,High,High,Review admin permission issues and provide resolution path,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs."
QBR-77E17787,2023-03-15,qbr_notes,Harborview Community Bank,Compliance Officer,Dashboard,Feature gap: no bulk drill-down capability — client using spreadsheet workaround.,Completed,Medium,Taylor Brooks,QBR Meeting,Manual Workaround,Neutral,False,False,Medium,Medium,Low,Prepare roadmap response on manual workaround reduction,Feature gap: no bulk drill-down capability — client using spreadsheet workaround.
QBR-C2E93734,2023-03-15,qbr_notes,Harborview Community Bank,VP of Operations,Compliance Reporting,Lending team reported User Management workflow improvements have reduced approval time by 20%.,Open,Medium,Morgan Lee,QBR Meeting,Compliance Reporting,Positive,True,True,Low,High,High,Confirm owner and next step with client,Lending team reported User Management workflow improvements have reduced approval time by 20%.
TKT-5F9EB435,2023-03-29,support_ticket,Harborview Community Bank,Branch Manager,Payment Reconciliation,Two-factor authentication failing for remote branch staff.,In Progress,Medium,Taylor Brooks,Support Portal,Payment Reconciliation,Negative,True,True,Medium,High,High,Confirm payment reconciliation status with account team,Two-factor authentication failing for remote branch staff.
EM-D507C84A,2023-04-02,account_email,Harborview Community Bank,Core Banking Admin,Core Banking,We need to revisit the scheduled snapshots commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.,Awaiting Response,Medium,Taylor Brooks,Email,Payment Reconciliation,Neutral,True,True,Medium,High,High,Confirm payment reconciliation status with account team,We need to revisit the scheduled snapshots commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.
TKT-355A0073,2023-05-02,support_ticket,Harborview Community Bank,Loan Operations Manager,User Management,Manual workaround needed: Lending Workflow export requires re-keying into spreadsheet every week.,In Progress,Low,Taylor Brooks,Support Portal,Lending Workflow,Neutral,True,False,Low,High,Medium,Confirm owner and next step with client,Manual workaround needed: Lending Workflow export requires re-keying into spreadsheet every week.
TKT-C62856F9,2023-05-11,support_ticket,Harborview Community Bank,IT Director,Dashboard,"Export limit of 10,000 rows too restrictive for full GL reconciliation.",Resolved,Medium,Taylor Brooks,Support Portal,Payment Reconciliation,Negative,False,False,Medium,High,High,Confirm payment reconciliation status with account team,"Export limit of 10,000 rows too restrictive for full GL reconciliation."
EM-83E88238,2023-06-11,account_email,Harborview Community Bank,Branch Manager,Data Exports,The compliance team is asking about CRA reporting capabilities. Can you confirm the timeline for the fix?,Awaiting Response,High,Taylor Brooks,Email,Compliance Reporting,Neutral,True,False,Medium,High,Medium,Review compliance reporting capabilities before renewal call,The compliance team is asking about CRA reporting capabilities. Can you confirm the timeline for the fix?
EM-26712B6B,2023-06-16,account_email,Harborview Community Bank,Compliance Officer,Compliance Reporting,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?,Resolved,High,Morgan Lee,Email,Compliance Reporting,Neutral,False,True,Medium,High,High,Review compliance reporting capabilities before renewal call,We want to put together a list of our top 5 pain points for the next QBR. Can we get time on the agenda?
QBR-8FCE9B15,2023-06-20,qbr_notes,Harborview Community Bank,Compliance Officer,Reporting & Analytics,Discussed drill-down roadmap. Client expects delivery by March 2025. Noted as committed.,Open,Medium,Jordan Kim,QBR Meeting,Reporting,Neutral,True,False,Medium,Medium,Medium,Prepare reporting capability summary for renewal readiness brief,Discussed drill-down roadmap. Client expects delivery by March 2025. Noted as committed.
QBR-AF38E5D0,2023-06-20,qbr_notes,Harborview Community Bank,Compliance Officer,User Management,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.,No Action Required,Medium,Morgan Lee,QBR Meeting,Admin Permissions,Neutral,False,True,Medium,Medium,Medium,Confirm permission workflow improvements with IT contact,Renewal discussion initiated. Client wants ROI summary and SLA performance data before committing.
FB-FB6135A8,2023-07-07,product_feedback,Harborview Community Bank,VP of Operations,Dashboard,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs.",Pending Review,High,,Feedback Form,Data Export,Negative,True,False,High,High,High,Prepare response on export limitations and any upcoming increases,"The bulk export limit is a real problem. We need more than 10,000 rows for our GL runs."
TKT-0B428D8B,2023-07-09,support_ticket,Harborview Community Bank,CFO,Data Exports,ACH file generation fails intermittently — no error shown to end user.,In Progress,High,Jordan Kim,Support Portal,Payment Reconciliation,Negative,True,True,High,High,High,Conduct post-mortem on payment discrepancy and share fix timeline,ACH file generation fails intermittently — no error shown to end user.
EM-8F498A06,2023-07-21,account_email,Harborview Community Bank,Loan Operations Manager,Core Banking,We need to revisit the drill-down commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.,Awaiting Response,High,Jordan Kim,Email,Payment Reconciliation,Neutral,True,True,Medium,High,High,Confirm payment reconciliation status with account team,We need to revisit the drill-down commitment from our last QBR. Q4 2024 is approaching and we haven't seen any movement.
EM-F4F293C7,2023-07-25,account_email,Harborview Community Bank,VP of Operations,Payment Reconciliation,Quick note: we've had three separate users report problems with Admin & Permissions this month alone.,Resolved,Medium,Morgan Lee,Email,Payment Reconciliation,Negative,False,True,Medium,High,High,Confirm payment reconciliation status with account team,Quick note: we've had three separate users report problems with Admin & Permissions this month alone.
FB-8FB25D85,2023-08-05,product_feedback,Harborview Community Bank,Compliance Officer,Dashboard,Really appreciated the recent update to User Management — the new layout is much cleaner.,Reviewed,Low,,Feedback Form,Admin Permissions,Positive,False,True,Low,Medium,Medium,Review record and include in account health summary,Really appreciated the recent update to User Management — the new layout is much cleaner.
